month,division,line,num_passengers,additional platform time,additional train time,total_apt,total_att,over_five_mins
2023-10-01,B DIVISION,E,7882217.3,1.224650638,0.5458883895,9644643.297,4272768.9612,1196163.7
2023-10-01,B DIVISION,C,5152103.2,1.5951849055,0.5172089675,8212485.871,2691688.685,999452.7
2023-03-01,B DIVISION,E,7840908.8,1.315474875,0.733464686,10261936.576,5630795.805,1370830.7
2023-05-01,A DIVISION,7,9603416.6,0.894958646,0.346926585,8560979.95,3299958.022,1013633.9
2023-12-01,B DIVISION,F,9230686.7,1.8541777075,0.447335514,17077770.462,3985577.436,1957470
2023-03-01,A DIVISION,3,5146039.3,0.9569241165,0.313716762,4905756.173,1627999.1247,547825.3
2023-02-01,B DIVISION,G,2426696.4,0.9938104125,0.6736759645,2416919.262,1599543.4704,412622.3
2023-05-01,B DIVISION,S Rock,40781.8,0.7615439215,-0.933639868,30071.0365,-37753.2755,3611.9
2023-03-01,A DIVISION,1,10370827.1,0.8667775325,0.611784528,8986014.929,6308530.987,999856.9
2023-07-01,B DIVISION,D,5428915.9,1.643951422,0.643002207,8945052.336,3491562.382,1228420
2023-09-01,B DIVISION,S Rock,63910.3,1.0853807175,-0.823143271,69823.868,-48224.65867,6335.1
2023-05-01,B DIVISION,E,7692246,1.38236824,0.8028454975,10667101.162,6076644.432,1422692.5
2023-03-01,A DIVISION,4,7527002.1,0.8993403495,0.4344192515,6740143.956,3303089.698,895571.1
2023-07-01,B DIVISION,B,4532522,1.8543253335,0.7376702925,8342753.577,3383543.21,1048823.6
2023-04-01,B DIVISION,E,6756204.5,1.10876447,0.6794496775,7466382.8,4487313.4188,1116240
2023-11-01,B DIVISION,Q,6843799,1.446150086,0.2793115145,9940033.632,1982637.607,1365066.7
2023-11-01,B DIVISION,G,3097803,1.1665162735,0.767332585,3627069.873,2352805.647,564452.9
2023-05-01,B DIVISION,A,8202505.5,1.3393731085,0.944889159,11008999.955,7685143.563,1573177.2
2023-06-01,A DIVISION,3,5267355.4,0.991763329,0.204282069,5267508.092,1067191.4772,523106.1
2023-05-01,A DIVISION,3,5118161.7,0.9856650565,0.342870607,5003884.475,1783168.1837,565986.2
2023-03-01,B DIVISION,N,5264367.4,1.4971648545,0.746632211,7872939.762,3832713.03,978203.8
2023-05-01,A DIVISION,4,8224177,0.951595504,0.4013135845,7832008.803,3317225.463,1009952.9
2023-04-01,B DIVISION,C,4140676.3,1.5059974135,0.4503100465,6237139.478,1908779.906,686614.7
2023-12-01,A DIVISION,1,10095197.3,1.1790715935,0.742109093,11902325.297,7458163.982,1336267.1
2023-01-01,B DIVISION,S Rock,39508.2,0.687962229,-0.9271381525,26832.31016,-36830.06484,3431.6
2023-02-01,A DIVISION,4,5963894.3,1.065393268,0.3000239295,6357088.132,1783163.8697,704742.9
2023-07-01,Systemwide,Systemwide,127050651.8,1.296703608,0.440311694,164747038.6,55941887.72,19407334.2
2023-03-01,A DIVISION,5,6124255.5,0.9870503875,0.5013589625,5975634.582,2948405.046,764260.5
2023-01-01,B DIVISION,Q,6444530.8,1.2629356475,0.521124756,8137429.064,3363203.379,1178291.8
2023-01-01,A DIVISION,1,9893180.3,0.9992752235,0.637132142,9914019.632,6304702.15,981412.2
2023-07-01,A DIVISION,3,4774748.3,0.9428717255,0.316613686,4486576.418,1492055.7152,526420.3
